縣市,鄉鎮市區,交易標的,土地移轉總面積平方公尺,都市土地使用分區,交易年月日,交易年份,交易月份,交易筆棟數,總樓層數,建物型態,建築完成年月,建築完成年份,建物移轉總面積平方公尺,總價元,單價元平方公尺,屋齡
高雄市,仁武區,房地(土地+建物),76.78,住,1070730,107,7,土地1建物1車位0,四層,透天厝,1070122,107,209.88,13350000,63608,0
高雄市,仁武區,房地(土地+建物),80.46,住,1070807,107,8,土地1建物1車位0,四層,透天厝,1070122,107,220.32,14000000,63544,0
高雄市,仁武區,房地(土地+建物),84.28,住,1070808,107,8,土地1建物1車位0,四層,透天厝,1070122,107,224.41,14200000,63277,0
高雄市,仁武區,房地(土地+建物),72.99,住,1070810,107,8,土地1建物1車位0,四層,透天厝,1070122,107,207.99,13200000,63465,0
高雄市,三民區,房地(土地+建物),83.02,住,1070430,107,4,土地1建物1車位0,四層,透天厝,1070123,107,255.39,19200000,75179,0
高雄市,大寮區,房地(土地+建物),122.05,住,1070401,107,4,土地3建物1車位0,四層,透天厝,1070129,107,236.68,8500000,35913,0
高雄市,大寮區,房地(土地+建物),87.32,住,1070413,107,4,土地3建物1車位0,四層,透天厝,1070129,107,181.93,7390000,40620,0
高雄市,大寮區,房地(土地+建物),90.31,住,1070413,107,4,土地3建物1車位0,四層,透天厝,1070129,107,193.37,7700000,39820,0
高雄市,大寮區,房地(土地+建物),84.34,住,1070413,107,4,土地3建物1車位0,四層,透天厝,1070129,107,181.93,7050000,38751,0
高雄市,大寮區,房地(土地+建物),81.35,住,1070413,107,4,土地3建物1車位0,四層,透天厝,1070129,107,194.38,7300000,37555,0
高雄市,大寮區,房地(土地+建物),97.58,住,1070501,107,5,土地3建物1車位0,四層,透天厝,1070129,107,194.32,8100000,41684,0
高雄市,大寮區,房地(土地+建物),111.1,住,1070501,107,5,土地3建物1車位0,四層,透天厝,1070129,107,194.32,8000000,41169,0
高雄市,大寮區,房地(土地+建物),97.6,住,1070501,107,5,土地3建物1車位0,四層,透天厝,1070129,107,194.32,8000000,41169,0
高雄市,大寮區,房地(土地+建物),114.07,住,1070501,107,5,土地3建物1車位0,四層,透天厝,1070129,107,194.32,7880000,40552,0
高雄市,大寮區,房地(土地+建物),97.59,住,1070501,107,5,土地3建物1車位0,四層,透天厝,1070129,107,194.32,7800000,40140,0
高雄市,大寮區,房地(土地+建物),93.1,住,1070501,107,5,土地3建物1車位0,四層,透天厝,1070129,107,177.43,7050000,39734,0
高雄市,大寮區,房地(土地+建物),97.55,住,1070501,107,5,土地3建物1車位0,四層,透天厝,1070129,107,194.32,7700000,39625,0
高雄市,大寮區,房地(土地+建物),97.72,住,1070501,107,5,土地3建物1車位0,四層,透天厝,1070129,107,194.32,7500000,38596,0
高雄市,大寮區,房地(土地+建物),105.14,住,1070501,107,5,土地3建物1車位0,四層,透天厝,1070129,107,194.32,7350000,37824,0
高雄市,大寮區,房地(土地+建物),111.27,住,1070501,107,5,土地3建物1車位0,四層,透天厝,1070129,107,224.83,8430000,37495,0
高雄市,大寮區,房地(土地+建物),106.29,住,1070501,107,5,土地3建物1車位0,四層,透天厝,1070129,107,223.98,8380000,37414,0
高雄市,大寮區,房地(土地+建物),116.97,住,1070501,107,5,土地3建物1車位0,四層,透天厝,1070129,107,237.06,8400000,35434,0
高雄市,大寮區,房地(土地+建物),82.79,住,1070501,107,5,土地3建物1車位0,四層,透天厝,1070129,107,190.33,6580000,34572,0
高雄市,大寮區,房地(土地+建物),77.79,住,1070501,107,5,土地3建物1車位0,四層,透天厝,1070129,107,193.44,6500000,33602,0
高雄市,大寮區,房地(土地+建物),108.12,住,1070601,107,6,土地3建物1車位0,四層,透天厝,1070129,107,194.32,7600000,39111,0
高雄市,大寮區,房地(土地+建物),97.76,住,1070601,107,6,土地3建物1車位0,四層,透天厝,1070129,107,194.32,7500000,38596,0
高雄市,大寮區,房地(土地+建物),119.97,住,1070601,107,6,土地3建物1車位0,四層,透天厝,1070129,107,197.47,7060000,35752,0
高雄市,大寮區,房地(土地+建物),77.16,住,1070402,107,4,土地3建物1車位0,四層,透天厝,1070130,107,190.72,6800000,35654,0
高雄市,大寮區,房地(土地+建物),69.41,住,1070413,107,4,土地3建物1車位0,四層,透天厝,1070130,107,182.59,6700000,36694,0
高雄市,大寮區,房地(土地+建物),75.38,住,1070413,107,4,土地3建物1車位0,四層,透天厝,1070130,107,187.68,6850000,36498,0
高雄市,大寮區,房地(土地+建物),72.4,住,1070413,107,4,土地3建物1車位0,四層,透天厝,1070130,107,187.45,6750000,36010,0
高雄市,大寮區,房地(土地+建物),78.37,住,1070426,107,4,土地3建物1車位0,四層,透天厝,1070130,107,194.38,7200000,37041,0
高雄市,大寮區,房地(土地+建物),99.82,住,1070501,107,5,土地3建物1車位0,四層,透天厝,1070130,107,197.46,8150000,41274,0
高雄市,大寮區,房地(土地+建物),97.44,住,1070501,107,5,土地3建物1車位0,四層,透天厝,1070130,107,194.32,8000000,41169,0
高雄市,大寮區,房地(土地+建物),97.48,住,1070501,107,5,土地3建物1車位0,四層,透天厝,1070130,107,194.32,7900000,40655,0
高雄市,大寮區,房地(土地+建物),97.52,住,1070501,107,5,土地3建物1車位0,四層,透天厝,1070130,107,194.32,7830000,40294,0
高雄市,大寮區,房地(土地+建物),97.53,住,1070501,107,5,土地3建物1車位0,四層,透天厝,1070130,107,194.32,7700000,39625,0
高雄市,大寮區,房地(土地+建物),166.7,住,1070701,107,7,土地1建物1車位0,四層,透天厝,1070130,107,254.52,11450000,44987,0
高雄市,前鎮區,房地(土地+建物),85.08,住,1070417,107,4,土地1建物1車位0,四層,透天厝,1070201,107,222.13,15750000,70904,0
高雄市,前鎮區,房地(土地+建物),84,住,1070417,107,4,土地1建物1車位0,四層,透天厝,1070201,107,220.18,15500000,70397,0
高雄市,前鎮區,房地(土地+建物),106.11,住,1070417,107,4,土地1建物1車位0,四層,透天厝,1070201,107,300.78,19080000,63435,0
高雄市,前鎮區,房地(土地+建物),84,住,1070601,107,6,土地1建物1車位0,四層,透天厝,1070201,107,219.51,16000000,72890,0
高雄市,前鎮區,房地(土地+建物),100.75,住,1070601,107,6,土地1建物1車位0,四層,透天厝,1070201,107,285.73,20160000,70556,0
高雄市,前鎮區,房地(土地+建物),105.41,住,1071025,107,10,土地1建物1車位0,四層,透天厝,1070201,107,302.1,18700000,61900,0
高雄市,楠梓區,房地(土地+建物),106.42,住,1070401,107,4,土地1建物1車位0,四層,透天厝,1070205,107,265.37,21100000,79512,0
高雄市,楠梓區,房地(土地+建物),83.59,住,1070601,107,6,土地1建物1車位0,四層,透天厝,1070205,107,246.65,19650000,79668,0
高雄市,楠梓區,房地(土地+建物),83.59,住,1070601,107,6,土地1建物1車位0,四層,透天厝,1070205,107,249.17,18500000,74246,0
高雄市,楠梓區,房地(土地+建物),83.59,住,1070915,107,9,土地2建物1車位0,四層,透天厝,1070205,107,249.17,18000000,72240,0
高雄市,楠梓區,房地(土地+建物),83.59,住,1071011,107,10,土地1建物1車位0,四層,透天厝,1070205,107,247.7,18000000,72669,0
高雄市,旗山區,房地(土地+建物),89.15,住,1070818,107,8,土地2建物1車位0,四層,透天厝,1070206,107,224.37,8550000,38107,0
高雄市,仁武區,房地(土地+建物),98.07,住,1070101,107,1,土地3建物1車位0,四層,透天厝,1070208,107,210.52,11400000,54152,0
高雄市,仁武區,房地(土地+建物),102.8,住,1070301,107,3,土地3建物1車位0,四層,透天厝,1070208,107,210.52,12700000,60327,0
高雄市,仁武區,房地(土地+建物),102.8,住,1070301,107,3,土地3建物1車位0,四層,透天厝,1070208,107,210.52,11550000,54864,0
高雄市,仁武區,房地(土地+建物),96.78,住,1070301,107,3,土地3建物1車位0,四層,透天厝,1070208,107,220.25,11900000,54030,0
高雄市,仁武區,房地(土地+建物),86.49,住,1070301,107,3,土地3建物1車位0,四層,透天厝,1070208,107,220.25,11800000,53575,0
高雄市,仁武區,房地(土地+建物),151.6,住,1070304,107,3,土地3建物1車位0,四層,透天厝,1070208,107,282.6,15500000,54848,0
高雄市,仁武區,房地(土地+建物),102.8,住,1070309,107,3,土地3建物1車位0,四層,透天厝,1070208,107,210.52,11500000,54627,0
高雄市,仁武區,房地(土地+建物),89.06,住,1070317,107,3,土地3建物1車位0,四層,透天厝,1070208,107,220.25,11850000,53802,0
高雄市,仁武區,房地(土地+建物),99.36,住,1070401,107,4,土地3建物1車位0,四層,透天厝,1070208,107,220.25,12300000,55846,0
高雄市,仁武區,房地(土地+建物),105.2,住,1070401,107,4,土地3建物1車位0,四層,透天厝,1070208,107,210.85,11700000,55490,0
高雄市,仁武區,房地(土地+建物),102.8,住,1070401,107,4,土地3建物1車位0,四層,透天厝,1070208,107,210.52,11600000,55102,0
高雄市,仁武區,房地(土地+建物),102.8,住,1070401,107,4,土地3建物1車位0,四層,透天厝,1070208,107,210.52,11550000,54864,0
高雄市,仁武區,房地(土地+建物),102.8,住,1070401,107,4,土地3建物1車位0,四層,透天厝,1070208,107,210.52,11500000,54627,0
高雄市,仁武區,房地(土地+建物),94.21,住,1070401,107,4,土地3建物1車位0,四層,透天厝,1070208,107,220.25,11850000,53802,0
高雄市,仁武區,房地(土地+建物),91.63,住,1070401,107,4,土地3建物1車位0,四層,透天厝,1070208,107,220.25,11850000,53802,0
高雄市,仁武區,房地(土地+建物),97.21,住,1070401,107,4,土地3建物1車位0,四層,透天厝,1070208,107,230.14,12200000,53011,0
高雄市,仁武區,房地(土地+建物),81.34,住,1070401,107,4,土地3建物1車位0,四層,透天厝,1070208,107,219.61,11500000,52366,0
高雄市,仁武區,房地(土地+建物),102.8,住,1070401,107,4,土地3建物1車位0,四層,透天厝,1070208,107,210.52,9750000,46314,0
高雄市,仁武區,房地(土地+建物),102.8,住,1070501,107,5,土地3建物1車位0,四層,透天厝,1070208,107,210.52,11600000,55102,0
高雄市,仁武區,房地(土地+建物),78.77,住,1070501,107,5,土地3建物1車位0,四層,透天厝,1070208,107,218.47,11400000,52181,0
高雄市,仁武區,房地(土地+建物),83.91,住,1070624,107,6,土地3建物1車位0,四層,透天厝,1070208,107,220.25,12860000,58388,0
高雄市,仁武區,房地(土地+建物),110.65,住,1070710,107,7,土地3建物1車位0,四層,透天厝,1070208,107,213.99,11600000,54208,0
高雄市,仁武區,房地(土地+建物),152.09,住,1070711,107,7,土地3建物1車位0,四層,透天厝,1070208,107,234.93,15000000,63849,0
高雄市,仁武區,房地(土地+建物),102.8,住,1070718,107,7,土地3建物1車位0,四層,透天厝,1070208,107,210.52,11500000,54627,0
高雄市,仁武區,房地(土地+建物),102.8,住,1070729,107,7,土地3建物1車位0,四層,透天厝,1070208,107,210.52,11500000,54627,0
高雄市,仁武區,房地(土地+建物),102.8,住,1070811,107,8,土地3建物1車位0,四層,透天厝,1070208,107,210.52,11500000,54627,0
高雄市,仁武區,房地(土地+建物),102.8,住,1070821,107,8,土地3建物1車位0,四層,透天厝,1070208,107,210.52,11600000,55102,0
高雄市,仁武區,房地(土地+建物),102.8,住,1070901,107,9,土地3建物1車位0,四層,透天厝,1070208,107,210.52,11600000,55102,0
高雄市,仁武區,房地(土地+建物),102.8,住,1070901,107,9,土地3建物1車位0,四層,透天厝,1070208,107,210.52,11500000,54627,0
高雄市,仁武區,房地(土地+建物),102.8,住,1070923,107,9,土地3建物1車位0,四層,透天厝,1070208,107,210.52,12700000,60327,0
高雄市,仁武區,房地(土地+建物),76.29,住,1070401,107,4,土地2建物1車位0,四層,透天厝,1070209,107,218.52,12800000,58576,0
高雄市,仁武區,房地(土地+建物),74.83,住,1070401,107,4,土地2建物1車位0,四層,透天厝,1070209,107,218.52,12800000,58576,0
高雄市,仁武區,房地(土地+建物),76.11,住,1070501,107,5,土地2建物1車位0,四層,透天厝,1070209,107,221.54,12800000,57777,0
高雄市,仁武區,房地(土地+建物),86.49,住,1070501,107,5,土地2建物1車位0,四層,透天厝,1070209,107,218.52,12500000,57203,0
高雄市,仁武區,房地(土地+建物),85.03,住,1070501,107,5,土地2建物1車位0,四層,透天厝,1070209,107,218.52,12000000,54915,0
高雄市,仁武區,房地(土地+建物),83.57,住,1070529,107,5,土地2建物1車位0,四層,透天厝,1070209,107,218.52,12000000,54915,0
高雄市,仁武區,房地(土地+建物),82.11,住,1070615,107,6,土地2建物1車位0,四層,透天厝,1070209,107,218.52,12000000,54915,0
高雄市,仁武區,房地(土地+建物),77.75,住,1070623,107,6,土地2建物1車位0,四層,透天厝,1070209,107,218.52,12000000,54915,0
高雄市,仁武區,房地(土地+建物),87.95,住,1070712,107,7,土地1建物1車位0,四層,透天厝,1070209,107,218.52,12600000,57661,0
高雄市,仁武區,房地(土地+建物),89.41,住,1070728,107,7,土地2建物1車位0,四層,透天厝,1070209,107,218.52,12800000,58576,0
高雄市,仁武區,房地(土地+建物),80.66,住,1070806,107,8,土地2建物1車位0,四層,透天厝,1070209,107,218.52,11800000,54000,0
高雄市,大寮區,房地(土地+建物),182.08,住,1070501,107,5,土地1建物1車位0,四層,透天厝,1070222,107,391.64,19800000,50557,0
高雄市,大寮區,房地(土地+建物),92.16,住,1070501,107,5,土地1建物1車位0,四層,透天厝,1070222,107,278.48,13000000,46682,0
高雄市,大寮區,房地(土地+建物),138.13,住,1070501,107,5,土地1建物1車位0,四層,透天厝,1070222,107,387.35,15000000,38725,0
高雄市,大寮區,房地(土地+建物),81.09,住,1070601,107,6,土地1建物1車位0,四層,透天厝,1070222,107,278.51,12500000,44882,0
高雄市,大寮區,房地(土地+建物),135.13,住,1070910,107,9,土地1建物1車位0,四層,透天厝,1070222,107,387.4,18000000,46464,0
高雄市,岡山區,房地(土地+建物),71.6,住,1070501,107,5,土地4建物1車位0,四層,透天厝,1070226,107,223.58,11000000,49199,0
高雄市,岡山區,房地(土地+建物),68.68,住,1070826,107,8,土地4建物1車位0,四層,透天厝,1070226,107,222.33,14300000,64319,0
高雄市,岡山區,房地(土地+建物),70.06,住,1071010,107,10,土地4建物1車位0,四層,透天厝,1070226,107,228.74,14200000,62079,0
高雄市,前鎮區,房地(土地+建物),84,住,1070501,107,5,土地1建物1車位0,四層,透天厝,1070301,107,233.34,17000000,72855,0
高雄市,前鎮區,房地(土地+建物),93,住,1070818,107,8,土地1建物1車位0,四層,透天厝,1070301,107,235.91,17680000,74944,0
